orig_video_id,new_video_id
V_ff3e7b0161bd475e8fe19522f2846273,33822
V_260e65adc97d46e4bf2a3f435817423d,5067
V_2899168b8bcb481f8b690cd858df0765,5379
V_829f4a1b6dad4fc9bf5289b04f5d5c0f,17126
V_S23V13_Virtual_short_method,21090
V_f7f335f1205641fba8e4ace421bbf2f1,32840
V_b794cbb9697240678c75a422f4feb0b7,24426
V_3e4c7c151bd2495483f09320b6ace0b5,8175
V_a60fc50a445e4052b0a30c7592a9dcd3,22081
V_5c2edc6f323d485d95165b8e603e9188,12106
V_93a9d69512434216aeddef7bac225d36,19319
V_3c206cdb068549868546d91262e7ae38,7886
V_4d3335d7bbad48d086819e984f1ca57c,10110
V_40f497d4b47049c3909a36003bdbe72b,8516
V_cd1210d701c8451db8ffc179d4567c57,27248
V_e0f11138dba2414fac5f33312b09bd00,29811
V_S27V8_How_to_further_Reduce_Power_Consumption_,21124
V_50cb46466544488794e711b88ca7f0d5,10585
V_96af8d50938b4f61a16e1a21caa8d14c,19730
V_1d269bcdbba3489c8ea89c5e98f3b35f,3881
V_cb64bcee38c14d3e9ee96ff8352b1915,27010
V_c6f219b610614081a1a15d5e7e574df6,26451
V_e1d67f0772714781821046dab68c1095,29918
V_dc9d4c8f8fa44943a841bc54baa146c9,29246
V_50aaf9b2e11b45a58b9ef2a277e0c723,10562
V_accaecfb29cd47749748ca0fa19d2eee,23011
V_9c7d522a1c014032ac83c1f191c90774,20451
V_1a30379de64c4ce8bca2ad7ecae54327,3506
V_17cb76660a304249beb3ecefaf4d2315,3188
V_1fb8ff9f5ef24357be67c6d0de1bf854,4240
V_664507bd8b0545aa8ac6b42dc982dc56,13491
V_466422b7fe0946d19bccf0f825cd6996,9255
V_4e9faf0e4ce3426a9a39018547b92ed0,10287
V_6f74143bff244c8c8de7eab9781321fc,14675
V_aeaa8df7f2114ec5a5e18ce23e5c5146,23246
V_b122f14323cc4eee9eb1137c3b2db49c,23588
V_b33efb4a53c148c58ab932a969ffd3a6,23864
V_3bc89abbe023463284c033779b7102fc,7845
V_6e066e21d1aa42bc9316f34dd3114701,14471
V_f5f912295adc4420b7895e4e157ca506,32579
V_d61b750b8c3b4ec58bcddd0381f737b4,28438
V_e4c8051a181e47ac8eb835730954e87e,30332
V_060bc28f4aa846fd88c461cf302b1cd8,781
V_e0578d934eb84758aa773e8bb3250084,29723
